Node,Port
BXEURTR3,GigabitEthernet7/1/22
BXEURTR3,GigabitEthernet7/1/6
BXEURTR3,GigabitEthernet7/1/7
BXEURTR3,GigabitEthernet9/0/0
BXEURTR3,GigabitEthernet9/0/14
BXEURTR3,GigabitEthernet9/0/20
BXEURTR3,GigabitEthernet9/0/21
BXEURTR3,GigabitEthernet9/0/3
BXEURTR3,GigabitEthernet9/0/5
BXEURTR3,GigabitEthernet9/0/9
BXEURTR3,GigabitEthernet9/1/1
BXEURTR3,GigabitEthernet9/1/8
BXEURTR3,100GE10/0/0
BXEURTR3,100GE10/0/5
BXEURTR3,100GE6/0/2
BXEURTR3,100GE6/0/3
BXEURTR3,100GE8/0/5
BXEURTR3,GigabitEthernet14/0/12
BXEURTR3,GigabitEthernet14/0/13
BXEURTR3,GigabitEthernet14/0/15
BXEURTR3,GigabitEthernet14/0/18
BXEURTR3,GigabitEthernet14/0/2
BXEURTR3,GigabitEthernet14/0/20
BXEURTR3,GigabitEthernet14/0/23
BXEURTR3,GigabitEthernet14/0/3
BXEURTR3,GigabitEthernet14/0/4
BXEURTR3,GigabitEthernet14/0/6
BXEURTR3,GigabitEthernet14/1/10
BXEURTR3,GigabitEthernet14/1/11
BXEURTR3,GigabitEthernet14/1/12
BXEURTR3,GigabitEthernet14/1/22
BXEURTR3,GigabitEthernet14/1/4
BXEURTR3,GigabitEthernet15/1/2
BXEURTR3,GigabitEthernet16/0/0
BXEURTR3,GigabitEthernet16/0/10
BXEURTR3,GigabitEthernet16/0/14
BXEURTR3,GigabitEthernet16/0/16
BXEURTR3,GigabitEthernet16/0/19
BXEURTR3,GigabitEthernet16/0/2
BXEURTR3,GigabitEthernet16/0/22
BXEURTR3,GigabitEthernet16/0/4
BXEURTR3,GigabitEthernet16/1/1
BXEURTR3,GigabitEthernet16/1/12
BXEURTR3,GigabitEthernet16/1/7
BXEURTR3,GigabitEthernet16/1/9
BXEURTR3,GigabitEthernet2/0/1
BXEURTR3,GigabitEthernet2/0/10
BXEURTR3,GigabitEthernet2/0/15
BXEURTR3,GigabitEthernet2/0/17
BXEURTR3,GigabitEthernet2/0/19
BXEURTR3,GigabitEthernet2/0/20
BXEURTR3,GigabitEthernet2/0/21
BXEURTR3,GigabitEthernet2/0/23
BXEURTR3,GigabitEthernet2/0/5
BXEURTR3,GigabitEthernet2/0/9
BXEURTR3,GigabitEthernet2/1/10
BXEURTR3,GigabitEthernet2/1/2
BXEURTR3,GigabitEthernet2/1/5
BXEURTR3,GigabitEthernet7/0/10
BXEURTR3,GigabitEthernet7/0/17
BXEURTR3,GigabitEthernet7/0/18
BXEURTR3,GigabitEthernet7/0/2
BXEURTR3,GigabitEthernet7/0/20
BXEURTR3,GigabitEthernet7/0/22
BXEURTR3,GigabitEthernet7/0/4
BXEURTR3,GigabitEthernet7/1/10
BXEURTR3,GigabitEthernet7/1/4
BXEURTR3,GigabitEthernet7/1/5
BXEURTR3,GigabitEthernet7/1/8
BXEURTR3,GigabitEthernet9/0/13
BXEURTR3,GigabitEthernet9/0/15
BXEURTR3,GigabitEthernet9/0/16
BXEURTR3,GigabitEthernet9/0/17
BXEURTR3,GigabitEthernet9/0/18
BXEURTR3,GigabitEthernet9/0/19
BXEURTR3,GigabitEthernet9/0/22
BXEURTR3,GigabitEthernet9/0/8
BXEURTR3,GigabitEthernet9/1/0
BXEURTR3,GigabitEthernet9/1/10
BXEURTR3,GigabitEthernet9/1/11
BXEURTR3,GigabitEthernet9/1/12
BXEURTR3,GigabitEthernet9/1/6
BXEURTR3,GigabitEthernet9/1/7
